0 31
0 -4.68 4.46
1 -1.54 2.81
2 -6.14 3.14
3 -5.37 0.22
4 -8.35 0.57
5 -8.99 -2.47
6 -3.0 3.08
0 -5.25 4.07
1 -9.93 -8.54
2 -9.8 -7.91
3 -3.86 3.27
4 -8.22 2.86
5 -9.48 2.22
6 -7.39 -6.0
0 -5.77 1.16
1 -4.77 -1.25
2 -0.98 0.95
3 -0.68 4.17
4 -7.42 1.75
5 -0.76 0.37
6 -9.91 1.6
0 -9.97 -4.05
1 -7.46 -1.97
2 -1.48 3.78
3 -3.93 4.51
4 -0.57 4.36
5 -0.36 3.44
6 -5.71 1.26
0 -2.33 4.13
1 -8.32 -2.81
2 -5.64 1.71
1 28
3 -7.43 -1.38
4 -8.63 0.97
5 -3.3 4.4
6 -4.68 2.83
0 -4.84 -0.67
1 -7.65 -3.99
2 -4.34 4.76
3 -8.25 -2.35
4 -4.87 -2.6
5 -5.43 -1.36
6 -4.55 4.15
0 -6.03 -1.43
1 -9.62 0.36
2 -8.83 3.5
3 -3.72 -1.27
4 -0.04 1.48
5 -2.87 2.95
6 -8.68 4.69
0 -7.19 -5.78
1 -9.61 3.9
2 -1.81 -0.28
3 -5.65 -2.22
4 -8.12 -1.42
5 -8.19 -5.31
6 -8.46 -2.98
0 -2.61 1.8
1 -7.27 -5.76
2 -4.41 2.58
2 31
3 9.54 15.8
4 12.22 18.76
5 6.21 17.4
6 12.59 15.87
0 11.16 13.61
1 6.35 19.35
2 7.52 19.53
3 12.55 18.17
4 11.29 16.01
5 10.62 16.31
6 8.26 14.22
0 10.19 18.84
1 11.22 12.35
2 8.59 11.72
3 12.88 14.99
4 9.06 17.55
5 9.82 18.12
6 7.24 19.76
0 10.9 19.86
1 13.33 19.39
2 13.57 15.11
3 14.64 18.59
4 14.91 18.2
5 12.6 16.49
6 8.31 12.09
0 6.73 16.67
1 5.09 19.13
2 14.02 19.64
3 5.28 17.4
4 11.32 18.78
5 10.19 11.34
3 30
6 13.36 16.41
0 14.74 16.97
1 7.6 16.41
2 6.34 8.4
3 7.73 17.11
4 7.42 17.07
5 10.42 16.91
6 9.02 14.44
0 9.66 15.98
1 7.85 9.54
2 11.84 17.55
3 7.45 19.28
4 11.29 17.24
5 5.59 12.64
6 13.66 19.88
0 9.97 14.94
1 8.59 11.52
2 11.16 16.7
3 13.83 19.55
4 6.79 15.07
5 11.73 14.99
6 5.86 18.42
0 6.6 9.32
1 9.11 16.38
2 8.57 19.8
3 14.18 17.41
4 11.41 18.03
5 7.85 14.08
6 5.71 8.24
0 12.64 13.79
4 31
1 8.84 14.52
2 12.96 17.78
3 11.58 19.68
4 14.74 19.65
5 7.54 11.84
6 7.15 15.38
0 6.5 7.65
1 9.1 11.59
2 13.22 14.89
3 5.68 7.91
4 10.36 11.53
5 9.17 11.4
6 7.5 18.34
0 7.45 18.76
1 10.24 14.7
2 5.82 16.48
3 8.61 14.26
4 6.35 19.29
5 13.12 14.76
6 13.38 14.41
0 10.14 15.7
1 11.56 13.41
2 12.89 15.29
3 8.79 19.66
4 14.81 15.99
5 13.18 14.46
6 12.32 15.07
0 12.48 18.61
1 13.26 19.73
2 8.51 15.03
3 13.69 18.79
5 30
4 15.47 25.19
5 20.96 27.8
6 26.54 27.95
0 25.35 34.99
1 17.26 27.31
2 16.02 18.89
3 24.02 25.34
4 28.03 32.59
5 20.05 33.73
6 18.36 23.84
0 28.72 34.97
1 25.21 31.61
2 18.66 20.71
3 28.0 33.91
4 18.54 20.93
5 25.79 27.15
6 19.14 25.26
0 18.96 31.21
1 26.67 31.66
2 28.72 33.36
3 21.71 33.13
4 15.68 26.62
5 28.74 29.81
6 28.08 31.87
0 21.7 30.18
1 22.2 23.42
2 26.72 33.99
3 20.08 31.59
4 21.44 32.9
5 17.31 19.82
6 31
6 24.02 27.8
0 22.99 31.56
1 16.52 31.01
2 19.55 22.95
3 27.27 32.99
4 29.25 32.35
5 20.33 25.32
6 21.3 29.86
0 19.24 28.29
1 17.4 30.93
2 17.99 27.33
3 25.84 32.97
4 27.34 31.63
5 23.79 27.95
6 22.73 26.72
0 17.85 26.28
1 20.23 32.53
2 18.38 29.19
3 23.96 26.19
4 16.63 24.67
5 29.15 34.59
6 20.39 30.19
0 16.69 20.59
1 25.87 29.62
2 22.9 26.55
3 22.21 34.01
4 17.42 30.05
5 17.38 24.41
6 22.65 28.53
0 24.8 31.43
1 21.84 31.37
7 31
2 26.64 34.5
3 17.92 21.78
4 19.35 22.6
5 29.96 34.15
6 21.65 24.75
0 23.71 31.35
1 28.92 33.12
2 23.28 28.98
3 22.91 26.96
4 24.79 32.98
5 19.17 24.14
